A new study created in RDB with name: MLP_12115
Trial 0 finished with value: 141.5070466244852 and parameters: {'input_dropout': 0.15000000000000002, 'hidden_layers': 3, 'hidden_units': 64, 'kernel_initializer': 'random_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.05, 'batch_norm': 'off', 'optimizer_type': 'rmsprop', 'lr': 0.00538449941369389, 'batch_size': 96}. Best is trial 0 with value: 141.5070466244852.
Trial 303 finished with value: 1904.5847555877062 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 64, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'on', 'optimizer_type': 'adam', 'lr': 0.0013086332277423168, 'batch_size': 64}. Best is trial 170 with value: 10.560527383025718.
Trial 304 finished with value: 18.89740974301985 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 256, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.0009813957758273697, 'batch_size': 64}. Best is trial 170 with value: 10.560527383025718.
Trial 305 finished with value: 14.170617840185203 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 256, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.0011869341911746813, 'batch_size': 64}. Best is trial 170 with value: 10.560527383025718.
Trial 306 finished with value: 20.5559501095058 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 128, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.0018961122334479232, 'batch_size': 64}. Best is trial 170 with value: 10.560527383025718.
Trial 307 finished with value: 13.364958639901994 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.001403208170745518, 'batch_size': 64}. Best is trial 170 with value: 10.560527383025718.
Trial 308 finished with value: 14.810197393217555 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.001078093872995034, 'batch_size': 64}. Best is trial 170 with value: 10.560527383025718.
Trial 309 finished with value: 15.894271235612294 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.0013897756560891181, 'batch_size': 64}. Best is trial 170 with value: 10.560527383025718.
Trial 310 finished with value: 81.61779391070895 and parameters: {'input_dropout': 0.05, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.0007797228019750514, 'batch_size': 64}. Best is trial 170 with value: 10.560527383025718.
Trial 311 finished with value: 90.00391459449426 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 192, 'kernel_initializer': 'random_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.05, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.0011884827370222293, 'batch_size': 64}. Best is trial 170 with value: 10.560527383025718.
Trial 312 finished with value: 21.806228544283503 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.001345676658364353, 'batch_size': 64}. Best is trial 170 with value: 10.560527383025718.
Trial 313 finished with value: 190.03443718659724 and parameters: {'input_dropout': 0.15000000000000002, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.000680487653867209, 'batch_size': 64}. Best is trial 170 with value: 10.560527383025718.
Trial 314 finished with value: 21.5284178559594 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 160, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.000963976481523551, 'batch_size': 64}. Best is trial 170 with value: 10.560527383025718.
Trial 315 finished with value: 22.090531709379558 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'prelu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.0015061570213785555, 'batch_size': 64}. Best is trial 170 with value: 10.560527383025718.
Trial 316 finished with value: 14.164001703526429 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.001059277991966085, 'batch_size': 64}. Best is trial 170 with value: 10.560527383025718.
Trial 317 finished with value: 238.20915831804365 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 4.294742643094738e-05, 'batch_size': 64}. Best is trial 170 with value: 10.560527383025718.
Trial 318 finished with value: 95.67090266365307 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'rmsprop', 'lr': 0.0008625676933667507, 'batch_size': 64}. Best is trial 170 with value: 10.560527383025718.
Trial 319 finished with value: 220.0015239796939 and parameters: {'input_dropout': 0.2, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.0017921525926339278, 'batch_size': 64}. Best is trial 170 with value: 10.560527383025718.
Trial 320 finished with value: 19.118383573606284 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.0012987553830151263, 'batch_size': 64}. Best is trial 170 with value: 10.560527383025718.
Trial 321 finished with value: 262.05498117094737 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.2, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.001133081701052015, 'batch_size': 64}. Best is trial 170 with value: 10.560527383025718.
Trial 322 finished with value: 32.14096584716118 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'on', 'optimizer_type': 'adam', 'lr': 0.0015498319694466646, 'batch_size': 64}. Best is trial 170 with value: 10.560527383025718.
Trial 323 finished with value: 19.787109485238766 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.001374754245906342, 'batch_size': 64}. Best is trial 170 with value: 10.560527383025718.
Trial 324 finished with value: 18.786134201101333 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 256, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.0017839113301029014, 'batch_size': 64}. Best is trial 170 with value: 10.560527383025718.
Trial 325 finished with value: 14.191485140043202 and parameters: {'input_dropout': 0.0, 'hidden_layers': 4, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.00097723704754025, 'batch_size': 64}. Best is trial 170 with value: 10.560527383025718.
Trial 326 finished with value: 623.2444031881396 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 96, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.3, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.0011898098268252918, 'batch_size': 64}. Best is trial 170 with value: 10.560527383025718.
Trial 327 finished with value: 25.260024014678365 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.009415520896026331, 'batch_size': 64}. Best is trial 170 with value: 10.560527383025718.
Trial 328 finished with value: 20.427551703196745 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.0020696744617794403, 'batch_size': 64}. Best is trial 170 with value: 10.560527383025718.
Trial 329 finished with value: 23.36819542923082 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.001508271742137927, 'batch_size': 64}. Best is trial 170 with value: 10.560527383025718.
Trial 330 finished with value: 16.335230665447835 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.000789256630170806, 'batch_size': 64}. Best is trial 170 with value: 10.560527383025718.
Trial 331 finished with value: 14.072595994619308 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 192, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.0013167728102052051, 'batch_size': 64}. Best is trial 170 with value: 10.560527383025718.
Trial 332 finished with value: 17.498741123410237 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.0005804541357800281, 'batch_size': 64}. Best is trial 170 with value: 10.560527383025718.
Trial 333 finished with value: 67.86911447780984 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'random_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.0016580150577424377, 'batch_size': 64}. Best is trial 170 with value: 10.560527383025718.
Trial 334 finished with value: 15.497771369776803 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.001110194328705154, 'batch_size': 64}. Best is trial 170 with value: 10.560527383025718.
Trial 335 finished with value: 69.2374951516997 and parameters: {'input_dropout': 0.05, 'hidden_layers': 5, 'hidden_units': 192, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.0024018418804865127, 'batch_size': 64}. Best is trial 170 with value: 10.560527383025718.
Trial 336 finished with value: 93.00478176400956 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.05, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.0009396608886114364, 'batch_size': 64}. Best is trial 170 with value: 10.560527383025718.
Trial 337 finished with value: 148.13097315074282 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'prelu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'rmsprop', 'lr': 0.0014026614558608375, 'batch_size': 64}. Best is trial 170 with value: 10.560527383025718.
Trial 338 finished with value: 19.884348800056152 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 160, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.0012153696973437854, 'batch_size': 64}. Best is trial 170 with value: 10.560527383025718.
Trial 339 finished with value: 18.890328174570406 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.0018687135928668662, 'batch_size': 64}. Best is trial 170 with value: 10.560527383025718.
Trial 340 finished with value: 20.82576049009788 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.000684684872487153, 'batch_size': 64}. Best is trial 170 with value: 10.560527383025718.
Trial 341 finished with value: 28.73523535925143 and parameters: {'input_dropout': 0.0, 'hidden_layers': 3, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'on', 'optimizer_type': 'adam', 'lr': 0.0015825376101832479, 'batch_size': 64}. Best is trial 170 with value: 10.560527383025718.
Trial 342 finished with value: 136.0626072450824 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.1, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.0010681090129821189, 'batch_size': 64}. Best is trial 170 with value: 10.560527383025718.
Trial 343 finished with value: 14.697727566937724 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.0008707992847800822, 'batch_size': 64}. Best is trial 170 with value: 10.560527383025718.
Trial 344 finished with value: 172.94224448556994 and parameters: {'input_dropout': 0.15000000000000002, 'hidden_layers': 5, 'hidden_units': 256, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.0013348843489295933, 'batch_size': 96}. Best is trial 170 with value: 10.560527383025718.
Trial 345 finished with value: 21.346161717170272 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.0017280874282668832, 'batch_size': 64}. Best is trial 170 with value: 10.560527383025718.
Trial 346 finished with value: 26.63515164852279 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.0010156545908274863, 'batch_size': 64}. Best is trial 170 with value: 10.560527383025718.
Trial 347 finished with value: 360.7466723751657 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.25, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.0012167177988191774, 'batch_size': 64}. Best is trial 170 with value: 10.560527383025718.
Trial 348 finished with value: 17.697784594659332 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.0014577444109679723, 'batch_size': 64}. Best is trial 170 with value: 10.560527383025718.
Trial 349 finished with value: 18.221790330079575 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 192, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.0020333352051095737, 'batch_size': 64}. Best is trial 170 with value: 10.560527383025718.
Trial 350 finished with value: 18.18455228833032 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.001558390245835575, 'batch_size': 64}. Best is trial 170 with value: 10.560527383025718.
Trial 351 finished with value: 18.76065418146553 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.000783009066377684, 'batch_size': 64}. Best is trial 170 with value: 10.560527383025718.
Trial 352 finished with value: 91.42317799905243 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.05, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.0011419546297708754, 'batch_size': 64}. Best is trial 170 with value: 10.560527383025718.
Trial 353 finished with value: 15.945201396605945 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.0009296056853256169, 'batch_size': 64}. Best is trial 170 with value: 10.560527383025718.
Trial 354 finished with value: 22.69724907519787 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.0013038882652235911, 'batch_size': 64}. Best is trial 170 with value: 10.560527383025718.
Trial 355 finished with value: 43.43429741914229 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'random_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.001716483753873602, 'batch_size': 64}. Best is trial 170 with value: 10.560527383025718.
Trial 356 finished with value: 17.419520088370632 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.001456960477258157, 'batch_size': 64}. Best is trial 170 with value: 10.560527383025718.
Trial 357 finished with value: 16.114944660095205 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.0010589320039149433, 'batch_size': 64}. Best is trial 170 with value: 10.560527383025718.
Trial 358 finished with value: 132.9260748912105 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'rmsprop', 'lr': 0.002172104829076402, 'batch_size': 64}. Best is trial 170 with value: 10.560527383025718.
Trial 359 finished with value: 21.918472396173577 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.0004962846907967177, 'batch_size': 64}. Best is trial 170 with value: 10.560527383025718.
Trial 360 finished with value: 25.627231608187216 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'prelu', 'hidden_dropout': 0.0, 'batch_norm': 'on', 'optimizer_type': 'adam', 'lr': 0.0012298662138755568, 'batch_size': 64}. Best is trial 170 with value: 10.560527383025718.
Trial 361 finished with value: 52.577298348369915 and parameters: {'input_dropout': 0.05, 'hidden_layers': 5, 'hidden_units': 256, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.0017620151605992104, 'batch_size': 64}. Best is trial 170 with value: 10.560527383025718.
Trial 362 finished with value: 19.953281221067865 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.0014787683008927325, 'batch_size': 64}. Best is trial 170 with value: 10.560527383025718.
Trial 363 finished with value: 17.578376092026538 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.0008449849511788697, 'batch_size': 64}. Best is trial 170 with value: 10.560527383025718.
Trial 364 finished with value: 13.595188623430937 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.0010162990862124968, 'batch_size': 64}. Best is trial 170 with value: 10.560527383025718.
Trial 365 finished with value: 11.767268984231265 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.0007289527676341017, 'batch_size': 64}. Best is trial 170 with value: 10.560527383025718.
Trial 366 finished with value: 24.11704525216532 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.00068899772166685, 'batch_size': 64}. Best is trial 170 with value: 10.560527383025718.
Trial 367 finished with value: 25.27212724471278 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 192, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.0007229138009228038, 'batch_size': 64}. Best is trial 170 with value: 10.560527383025718.
Trial 368 finished with value: 25.480358639093232 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.000776580254650663, 'batch_size': 64}. Best is trial 170 with value: 10.560527383025718.
Trial 369 finished with value: 21.739130500746775 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.0006434615926615249, 'batch_size': 64}. Best is trial 170 with value: 10.560527383025718.
Trial 370 finished with value: 31.205023666490945 and parameters: {'input_dropout': 0.0, 'hidden_layers': 4, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.0005668878695589888, 'batch_size': 64}. Best is trial 170 with value: 10.560527383025718.
Trial 371 finished with value: 37.16249044181837 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.006060017093982984, 'batch_size': 64}. Best is trial 170 with value: 10.560527383025718.
Trial 372 finished with value: 22.950935725197038 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.0008970753150312431, 'batch_size': 64}. Best is trial 170 with value: 10.560527383025718.
Trial 373 finished with value: 16.192994072266444 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.0008730956349498249, 'batch_size': 64}. Best is trial 170 with value: 10.560527383025718.
Trial 374 finished with value: 87.23245833081673 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.05, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.0010096155353612197, 'batch_size': 64}. Best is trial 170 with value: 10.560527383025718.
Trial 375 finished with value: 16.83957015358442 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.001012155572913546, 'batch_size': 64}. Best is trial 170 with value: 10.560527383025718.
Trial 376 finished with value: 91.21512900376051 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'rmsprop', 'lr': 0.0010965962934436917, 'batch_size': 64}. Best is trial 170 with value: 10.560527383025718.
Trial 377 finished with value: 31.313659478531 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 192, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.0007942511750280742, 'batch_size': 64}. Best is trial 170 with value: 10.560527383025718.
Trial 378 finished with value: 55.23956953394404 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 256, 'kernel_initializer': 'random_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.0009353830526186707, 'batch_size': 64}. Best is trial 170 with value: 10.560527383025718.
