A new study created in RDB with name: MLP_62542
Trial 0 finished with value: 258.6958705672323 and parameters: {'input_dropout': 0.15000000000000002, 'hidden_layers': 8, 'hidden_units': 96, 'kernel_initializer': 'random_normal', 'hidden_activation': 'prelu', 'hidden_dropout': 0.2, 'batch_norm': 'on', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.002127899633977048, 'batch_size': 128}. Best is trial 0 with value: 258.6958705672323.
Trial 144 finished with value: 21.6790909317699 and parameters: {'input_dropout': 0.0, 'hidden_layers': 10, 'hidden_units': 256, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0022382168201612734, 'batch_size': 64}. Best is trial 72 with value: 11.985789281995453.
Trial 145 finished with value: 17.795086088504704 and parameters: {'input_dropout': 0.0, 'hidden_layers': 10, 'hidden_units': 256, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0017824902785479556, 'batch_size': 64}. Best is trial 72 with value: 11.985789281995453.
Trial 146 finished with value: 14.884691506299374 and parameters: {'input_dropout': 0.0, 'hidden_layers': 6, 'hidden_units': 256, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0013852356231470258, 'batch_size': 64}. Best is trial 72 with value: 11.985789281995453.
Trial 147 finished with value: 20.136508199794083 and parameters: {'input_dropout': 0.0, 'hidden_layers': 10, 'hidden_units': 256, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'prelu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0024296017821364025, 'batch_size': 64}. Best is trial 72 with value: 11.985789281995453.
Trial 148 finished with value: 21.474823414262882 and parameters: {'input_dropout': 0.0, 'hidden_layers': 6, 'hidden_units': 256, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0029087898269540527, 'batch_size': 64}. Best is trial 72 with value: 11.985789281995453.
Trial 149 finished with value: 292.1322809298551 and parameters: {'input_dropout': 0.0, 'hidden_layers': 7, 'hidden_units': 256, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.15000000000000002, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.001973804236174525, 'batch_size': 64}. Best is trial 72 with value: 11.985789281995453.
Trial 150 finished with value: 71.92824561580156 and parameters: {'input_dropout': 0.0, 'hidden_layers': 10, 'hidden_units': 256, 'kernel_initializer': 'random_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.0016635367019251536, 'batch_size': 64}. Best is trial 72 with value: 11.985789281995453.
Trial 151 finished with value: 14.731597997579097 and parameters: {'input_dropout': 0.0, 'hidden_layers': 6, 'hidden_units': 256, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0014667451827274638, 'batch_size': 64}. Best is trial 72 with value: 11.985789281995453.
Trial 152 finished with value: 13.799685975408241 and parameters: {'input_dropout': 0.0, 'hidden_layers': 6, 'hidden_units': 256, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0012999621721170595, 'batch_size': 64}. Best is trial 72 with value: 11.985789281995453.
Trial 153 finished with value: 15.070371975835597 and parameters: {'input_dropout': 0.0, 'hidden_layers': 6, 'hidden_units': 256, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0012482936908300112, 'batch_size': 64}. Best is trial 72 with value: 11.985789281995453.
Trial 154 finished with value: 12.54963251438901 and parameters: {'input_dropout': 0.0, 'hidden_layers': 6, 'hidden_units': 256, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0014542848363335917, 'batch_size': 64}. Best is trial 72 with value: 11.985789281995453.
Trial 155 finished with value: 21.079998523472124 and parameters: {'input_dropout': 0.0, 'hidden_layers': 6, 'hidden_units': 224, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.001358853505871259, 'batch_size': 64}. Best is trial 72 with value: 11.985789281995453.
Trial 156 finished with value: 14.48437331686653 and parameters: {'input_dropout': 0.0, 'hidden_layers': 6, 'hidden_units': 160, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.000914862538181842, 'batch_size': 64}. Best is trial 72 with value: 11.985789281995453.
Trial 157 finished with value: 983.3809919384468 and parameters: {'input_dropout': 0.0, 'hidden_layers': 6, 'hidden_units': 160, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.3, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.000885029589122681, 'batch_size': 64}. Best is trial 72 with value: 11.985789281995453.
Trial 158 finished with value: 17.692847274448688 and parameters: {'input_dropout': 0.0, 'hidden_layers': 6, 'hidden_units': 160, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.00067559002347936, 'batch_size': 64}. Best is trial 72 with value: 11.985789281995453.
Trial 159 finished with value: 35.07972846525154 and parameters: {'input_dropout': 0.0, 'hidden_layers': 6, 'hidden_units': 160, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.001156651644910001, 'batch_size': 64}. Best is trial 72 with value: 11.985789281995453.
Trial 160 finished with value: 21.076523107055966 and parameters: {'input_dropout': 0.0, 'hidden_layers': 6, 'hidden_units': 128, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.000970958793330292, 'batch_size': 64}. Best is trial 72 with value: 11.985789281995453.
Trial 161 finished with value: 18.83849173089334 and parameters: {'input_dropout': 0.0, 'hidden_layers': 6, 'hidden_units': 160, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0016229553851586083, 'batch_size': 64}. Best is trial 72 with value: 11.985789281995453.
Trial 162 finished with value: 20.373367090110417 and parameters: {'input_dropout': 0.0, 'hidden_layers': 6, 'hidden_units': 256, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0013865357652333458, 'batch_size': 64}. Best is trial 72 with value: 11.985789281995453.
Trial 163 finished with value: 13.653376877625261 and parameters: {'input_dropout': 0.0, 'hidden_layers': 6, 'hidden_units': 192, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.001989425436675158, 'batch_size': 64}. Best is trial 72 with value: 11.985789281995453.
Trial 164 finished with value: 17.076925782310262 and parameters: {'input_dropout': 0.0, 'hidden_layers': 6, 'hidden_units': 192, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.001952968762500464, 'batch_size': 64}. Best is trial 72 with value: 11.985789281995453.
Trial 165 finished with value: 32.161514753410025 and parameters: {'input_dropout': 0.0, 'hidden_layers': 6, 'hidden_units': 192, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0018078945346683302, 'batch_size': 64}. Best is trial 72 with value: 11.985789281995453.
Trial 166 finished with value: 242.02384297745076 and parameters: {'input_dropout': 0.0, 'hidden_layers': 6, 'hidden_units': 192, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 1.6513832241592728e-05, 'batch_size': 64}. Best is trial 72 with value: 11.985789281995453.
Trial 167 finished with value: 78.233358433857 and parameters: {'input_dropout': 0.0, 'hidden_layers': 6, 'hidden_units': 160, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.0012518631303239825, 'batch_size': 64}. Best is trial 72 with value: 11.985789281995453.
Trial 168 finished with value: 16.07257531884777 and parameters: {'input_dropout': 0.0, 'hidden_layers': 7, 'hidden_units': 192, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0011385915705245113, 'batch_size': 64}. Best is trial 72 with value: 11.985789281995453.
Trial 169 finished with value: 13.960597096938825 and parameters: {'input_dropout': 0.0, 'hidden_layers': 6, 'hidden_units': 224, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0021201196490095936, 'batch_size': 64}. Best is trial 72 with value: 11.985789281995453.
Trial 170 finished with value: 21.444156871600423 and parameters: {'input_dropout': 0.0, 'hidden_layers': 6, 'hidden_units': 192, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.002200289732746096, 'batch_size': 64}. Best is trial 72 with value: 11.985789281995453.
Trial 171 finished with value: 18.661824797347496 and parameters: {'input_dropout': 0.0, 'hidden_layers': 6, 'hidden_units': 224, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0017009726771712935, 'batch_size': 64}. Best is trial 72 with value: 11.985789281995453.
Trial 172 finished with value: 25.160928977381328 and parameters: {'input_dropout': 0.0, 'hidden_layers': 6, 'hidden_units': 224, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0021570478437420485, 'batch_size': 64}. Best is trial 72 with value: 11.985789281995453.
Trial 173 finished with value: 15.244392320961019 and parameters: {'input_dropout': 0.0, 'hidden_layers': 6, 'hidden_units': 224, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0015081833464912887, 'batch_size': 64}. Best is trial 72 with value: 11.985789281995453.
Trial 174 finished with value: 108.32651125357648 and parameters: {'input_dropout': 0.1, 'hidden_layers': 6, 'hidden_units': 224, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0019237851066877627, 'batch_size': 64}. Best is trial 72 with value: 11.985789281995453.
Trial 175 finished with value: 166.15977263656862 and parameters: {'input_dropout': 0.15000000000000002, 'hidden_layers': 7, 'hidden_units': 224, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.001674264767735383, 'batch_size': 64}. Best is trial 72 with value: 11.985789281995453.
Trial 176 finished with value: 18.75486506997531 and parameters: {'input_dropout': 0.0, 'hidden_layers': 7, 'hidden_units': 128, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.001146955642273241, 'batch_size': 64}. Best is trial 72 with value: 11.985789281995453.
Trial 177 finished with value: 16.763808002547353 and parameters: {'input_dropout': 0.0, 'hidden_layers': 6, 'hidden_units': 224, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'prelu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0013575151886936895, 'batch_size': 64}. Best is trial 72 with value: 11.985789281995453.
Trial 178 finished with value: 52.14301090615668 and parameters: {'input_dropout': 0.0, 'hidden_layers': 3, 'hidden_units': 160, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0009324623763276108, 'batch_size': 64}. Best is trial 72 with value: 11.985789281995453.
Trial 179 finished with value: 32.0739570409728 and parameters: {'input_dropout': 0.0, 'hidden_layers': 7, 'hidden_units': 192, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.002627236659278724, 'batch_size': 128}. Best is trial 72 with value: 11.985789281995453.
Trial 180 finished with value: 50.269064381779316 and parameters: {'input_dropout': 0.0, 'hidden_layers': 6, 'hidden_units': 224, 'kernel_initializer': 'random_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0019636630245100537, 'batch_size': 64}. Best is trial 72 with value: 11.985789281995453.
Trial 181 finished with value: 28.94399111247161 and parameters: {'input_dropout': 0.0, 'hidden_layers': 6, 'hidden_units': 256, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.001510667346091252, 'batch_size': 64}. Best is trial 72 with value: 11.985789281995453.
Trial 182 finished with value: 14.240927893293241 and parameters: {'input_dropout': 0.0, 'hidden_layers': 6, 'hidden_units': 256, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0014322493971170283, 'batch_size': 64}. Best is trial 72 with value: 11.985789281995453.
Trial 183 finished with value: 13.128841800712282 and parameters: {'input_dropout': 0.0, 'hidden_layers': 6, 'hidden_units': 256, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.001267720593763737, 'batch_size': 64}. Best is trial 72 with value: 11.985789281995453.
Trial 184 finished with value: 18.56738417884621 and parameters: {'input_dropout': 0.0, 'hidden_layers': 6, 'hidden_units': 256, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0017612728785733134, 'batch_size': 64}. Best is trial 72 with value: 11.985789281995453.
Trial 185 finished with value: 13.653506173646724 and parameters: {'input_dropout': 0.0, 'hidden_layers': 6, 'hidden_units': 256, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.001298645134217448, 'batch_size': 64}. Best is trial 72 with value: 11.985789281995453.
Trial 186 finished with value: 23.805903990965493 and parameters: {'input_dropout': 0.0, 'hidden_layers': 6, 'hidden_units': 256, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0013180349294034722, 'batch_size': 64}. Best is trial 72 with value: 11.985789281995453.
Trial 187 finished with value: 16.90793371125617 and parameters: {'input_dropout': 0.0, 'hidden_layers': 6, 'hidden_units': 256, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.001056556858212354, 'batch_size': 64}. Best is trial 72 with value: 11.985789281995453.
Trial 188 finished with value: 22.231675922353116 and parameters: {'input_dropout': 0.0, 'hidden_layers': 6, 'hidden_units': 256, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0015097062150562766, 'batch_size': 64}. Best is trial 72 with value: 11.985789281995453.
Trial 189 finished with value: 227.91422505898475 and parameters: {'input_dropout': 0.0, 'hidden_layers': 6, 'hidden_units': 256, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'relu', 'hidden_dropout': 0.1, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0008045313251104885, 'batch_size': 64}. Best is trial 72 with value: 11.985789281995453.
Trial 190 finished with value: 24.857793260619523 and parameters: {'input_dropout': 0.0, 'hidden_layers': 6, 'hidden_units': 256, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.001203584015090487, 'batch_size': 64}. Best is trial 72 with value: 11.985789281995453.
Trial 191 finished with value: 16.762802781831983 and parameters: {'input_dropout': 0.0, 'hidden_layers': 6, 'hidden_units': 256, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.002193943285308144, 'batch_size': 64}. Best is trial 72 with value: 11.985789281995453.
Trial 192 finished with value: 18.690211351265038 and parameters: {'input_dropout': 0.0, 'hidden_layers': 6, 'hidden_units': 256, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0017343801503895472, 'batch_size': 64}. Best is trial 72 with value: 11.985789281995453.
Trial 193 finished with value: 18.202587415143036 and parameters: {'input_dropout': 0.0, 'hidden_layers': 6, 'hidden_units': 256, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0013778109272736402, 'batch_size': 64}. Best is trial 72 with value: 11.985789281995453.
Trial 194 finished with value: 14.057094902631981 and parameters: {'input_dropout': 0.0, 'hidden_layers': 6, 'hidden_units': 256, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.001977563890747784, 'batch_size': 64}. Best is trial 72 with value: 11.985789281995453.
Trial 195 finished with value: 31.055490819282646 and parameters: {'input_dropout': 0.0, 'hidden_layers': 6, 'hidden_units': 256, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.00019147308667675386, 'batch_size': 64}. Best is trial 72 with value: 11.985789281995453.
Trial 196 finished with value: 12.283270304326106 and parameters: {'input_dropout': 0.0, 'hidden_layers': 6, 'hidden_units': 256, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.002080982569670079, 'batch_size': 64}. Best is trial 72 with value: 11.985789281995453.
Trial 197 finished with value: 156.97976054336723 and parameters: {'input_dropout': 0.0, 'hidden_layers': 6, 'hidden_units': 256, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.002326247079214387, 'batch_size': 64}. Best is trial 72 with value: 11.985789281995453.
Trial 198 finished with value: 17.365208249809797 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 256, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0019969039437681487, 'batch_size': 64}. Best is trial 72 with value: 11.985789281995453.
Trial 199 finished with value: 17.16371580719525 and parameters: {'input_dropout': 0.0, 'hidden_layers': 6, 'hidden_units': 256, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0032004629432484557, 'batch_size': 64}. Best is trial 72 with value: 11.985789281995453.
Trial 200 finished with value: 17.9051037683634 and parameters: {'input_dropout': 0.0, 'hidden_layers': 6, 'hidden_units': 256, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0027075712935553846, 'batch_size': 64}. Best is trial 72 with value: 11.985789281995453.
Trial 201 finished with value: 23.45187187695203 and parameters: {'input_dropout': 0.0, 'hidden_layers': 6, 'hidden_units': 256, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0015483064230571721, 'batch_size': 64}. Best is trial 72 with value: 11.985789281995453.
Trial 202 finished with value: 13.850694266194061 and parameters: {'input_dropout': 0.0, 'hidden_layers': 6, 'hidden_units': 256, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0012642676772810317, 'batch_size': 64}. Best is trial 72 with value: 11.985789281995453.
Trial 203 finished with value: 17.388299586042763 and parameters: {'input_dropout': 0.0, 'hidden_layers': 6, 'hidden_units': 256, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0013089941189007531, 'batch_size': 64}. Best is trial 72 with value: 11.985789281995453.
Trial 204 finished with value: 11.673051584706704 and parameters: {'input_dropout': 0.0, 'hidden_layers': 6, 'hidden_units': 256, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0018485517811311543, 'batch_size': 64}. Best is trial 204 with value: 11.673051584706704.
Trial 205 finished with value: 14.645209427493885 and parameters: {'input_dropout': 0.0, 'hidden_layers': 6, 'hidden_units': 256, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.002088910540820368, 'batch_size': 64}. Best is trial 204 with value: 11.673051584706704.
Trial 206 finished with value: 17.489661998913963 and parameters: {'input_dropout': 0.0, 'hidden_layers': 6, 'hidden_units': 256, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0018378932785931214, 'batch_size': 64}. Best is trial 204 with value: 11.673051584706704.
Trial 207 finished with value: 419.83634728276496 and parameters: {'input_dropout': 0.0, 'hidden_layers': 6, 'hidden_units': 256, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.2, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.001620396219014566, 'batch_size': 64}. Best is trial 204 with value: 11.673051584706704.
Trial 208 finished with value: 19.063359493326665 and parameters: {'input_dropout': 0.0, 'hidden_layers': 6, 'hidden_units': 256, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0024205895407705285, 'batch_size': 64}. Best is trial 204 with value: 11.673051584706704.
Trial 209 finished with value: 49.094423803570564 and parameters: {'input_dropout': 0.0, 'hidden_layers': 6, 'hidden_units': 256, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 9.909637892243751e-05, 'batch_size': 64}. Best is trial 204 with value: 11.673051584706704.
Trial 210 finished with value: 16.429861819392194 and parameters: {'input_dropout': 0.0, 'hidden_layers': 6, 'hidden_units': 256, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'prelu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0019192623931195976, 'batch_size': 64}. Best is trial 204 with value: 11.673051584706704.
Trial 211 finished with value: 17.469959544879224 and parameters: {'input_dropout': 0.0, 'hidden_layers': 6, 'hidden_units': 256, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0014827637197743343, 'batch_size': 64}. Best is trial 204 with value: 11.673051584706704.
Trial 212 finished with value: 15.239185582065247 and parameters: {'input_dropout': 0.0, 'hidden_layers': 6, 'hidden_units': 256, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0012737247034972884, 'batch_size': 64}. Best is trial 204 with value: 11.673051584706704.
Trial 213 finished with value: 13.899003063313385 and parameters: {'input_dropout': 0.0, 'hidden_layers': 6, 'hidden_units': 256, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0016451154576812238, 'batch_size': 64}. Best is trial 204 with value: 11.673051584706704.
Trial 214 finished with value: 17.546877508065037 and parameters: {'input_dropout': 0.0, 'hidden_layers': 6, 'hidden_units': 256, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0016899301964013796, 'batch_size': 64}. Best is trial 204 with value: 11.673051584706704.
Trial 215 finished with value: 15.877275661788754 and parameters: {'input_dropout': 0.0, 'hidden_layers': 6, 'hidden_units': 256, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.002223098947614648, 'batch_size': 64}. Best is trial 204 with value: 11.673051584706704.
