A new study created in RDB with name: MLP_153131
Trial 0 finished with value: 495.5684996318022 and parameters: {'input_dropout': 0.0, 'hidden_layers': 10, 'hidden_units': 160, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'prelu', 'hidden_dropout': 0.25, 'batch_norm': 'on', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.0010891743874929258, 'batch_size': 96}. Best is trial 0 with value: 495.5684996318022.
Trial 253 finished with value: 19.024739916168798 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 160, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.0028547313205330173, 'batch_size': 96}. Best is trial 171 with value: 10.681659473072962.
Trial 254 finished with value: 14.108548973546071 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 160, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.002314954203245226, 'batch_size': 96}. Best is trial 171 with value: 10.681659473072962.
Trial 255 finished with value: 18.4701703845115 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 160, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0022316080058174506, 'batch_size': 96}. Best is trial 171 with value: 10.681659473072962.
Trial 256 finished with value: 15.840975840906747 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 160, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0023266367447555107, 'batch_size': 96}. Best is trial 171 with value: 10.681659473072962.
Trial 257 finished with value: 17.220982782359282 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 160, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0028881204595427134, 'batch_size': 96}. Best is trial 171 with value: 10.681659473072962.
Trial 258 finished with value: 75.03007572546967 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 160, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0033777549001669685, 'batch_size': 96}. Best is trial 171 with value: 10.681659473072962.
Trial 259 finished with value: 18.10130669941282 and parameters: {'input_dropout': 0.0, 'hidden_layers': 6, 'hidden_units': 160, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0026108919353242076, 'batch_size': 96}. Best is trial 171 with value: 10.681659473072962.
Trial 260 finished with value: 15.34919750382832 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 160, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'prelu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0027737548678763557, 'batch_size': 96}. Best is trial 171 with value: 10.681659473072962.
Trial 261 finished with value: 19.307597863398584 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 160, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.002574344957479218, 'batch_size': 96}. Best is trial 171 with value: 10.681659473072962.
Trial 262 finished with value: 14.143212649308452 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 128, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.002065995487469106, 'batch_size': 96}. Best is trial 171 with value: 10.681659473072962.
Trial 263 finished with value: 11.916030206036469 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 128, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0018544512542098505, 'batch_size': 96}. Best is trial 171 with value: 10.681659473072962.
Trial 264 finished with value: 1784.5583098030384 and parameters: {'input_dropout': 0.15000000000000002, 'hidden_layers': 9, 'hidden_units': 128, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.2, 'batch_norm': 'off', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.001877485455530044, 'batch_size': 96}. Best is trial 171 with value: 10.681659473072962.
Trial 265 finished with value: 22.454018989605665 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 128, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0017035657711911576, 'batch_size': 96}. Best is trial 171 with value: 10.681659473072962.
Trial 266 finished with value: 20.587177053265425 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 128, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0019837781701256656, 'batch_size': 96}. Best is trial 171 with value: 10.681659473072962.
Trial 267 finished with value: 30.49679520509468 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 128, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.001797961626438688, 'batch_size': 96}. Best is trial 171 with value: 10.681659473072962.
Trial 268 finished with value: 16.10334545436557 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 128, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0019932829179061984, 'batch_size': 96}. Best is trial 171 with value: 10.681659473072962.
Trial 269 finished with value: 13.954293535290564 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 128, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.002093310044695949, 'batch_size': 96}. Best is trial 171 with value: 10.681659473072962.
Trial 270 finished with value: 15.309093477236805 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 128, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0018746451900810291, 'batch_size': 96}. Best is trial 171 with value: 10.681659473072962.
Trial 271 finished with value: 24.85769259338168 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 128, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0020719077150656373, 'batch_size': 96}. Best is trial 171 with value: 10.681659473072962.
Trial 272 finished with value: 76.02709204992377 and parameters: {'input_dropout': 0.0, 'hidden_layers': 4, 'hidden_units': 128, 'kernel_initializer': 'random_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0020432831943602695, 'batch_size': 96}. Best is trial 171 with value: 10.681659473072962.
Trial 273 finished with value: 466.27762014410433 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 128, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.1, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0021518378139036513, 'batch_size': 96}. Best is trial 171 with value: 10.681659473072962.
Trial 274 finished with value: 15.066481628987846 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 128, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.002249496222590608, 'batch_size': 96}. Best is trial 171 with value: 10.681659473072962.
Trial 275 finished with value: 16.373466024501024 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 128, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.001819817735742573, 'batch_size': 96}. Best is trial 171 with value: 10.681659473072962.
Trial 276 finished with value: 22.58294848753429 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 192, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0021500971514789554, 'batch_size': 128}. Best is trial 171 with value: 10.681659473072962.
Trial 277 finished with value: 16.914709245875482 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 128, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.00233056976326949, 'batch_size': 96}. Best is trial 171 with value: 10.681659473072962.
Trial 278 finished with value: 30.306022104542613 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 128, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0068938697175049855, 'batch_size': 96}. Best is trial 171 with value: 10.681659473072962.
Trial 279 finished with value: 16.01631870798472 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 128, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.0019520574559867686, 'batch_size': 96}. Best is trial 171 with value: 10.681659473072962.
Trial 280 finished with value: 17.721743296273843 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 128, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.002395613436834854, 'batch_size': 96}. Best is trial 171 with value: 10.681659473072962.
Trial 281 finished with value: 51.4937161750116 and parameters: {'input_dropout': 0.1, 'hidden_layers': 9, 'hidden_units': 128, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.001686131558539649, 'batch_size': 96}. Best is trial 171 with value: 10.681659473072962.
Trial 282 finished with value: 133.6080145237348 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 160, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.0006467742137466083, 'batch_size': 96}. Best is trial 171 with value: 10.681659473072962.
Trial 283 finished with value: 18.309275318418344 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 192, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.002484794149572221, 'batch_size': 96}. Best is trial 171 with value: 10.681659473072962.
Trial 284 finished with value: 45.70234976936441 and parameters: {'input_dropout': 0.05, 'hidden_layers': 9, 'hidden_units': 160, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0022630136035242756, 'batch_size': 96}. Best is trial 171 with value: 10.681659473072962.
Trial 285 finished with value: 16.176930456433304 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 128, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.0020954865950427513, 'batch_size': 96}. Best is trial 171 with value: 10.681659473072962.
Trial 286 finished with value: 25.227309165502806 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 160, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.002630922689986903, 'batch_size': 96}. Best is trial 171 with value: 10.681659473072962.
Trial 287 finished with value: 188.09630338178619 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 160, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.3, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.0030728976328322534, 'batch_size': 96}. Best is trial 171 with value: 10.681659473072962.
Trial 288 finished with value: 19.364679267713296 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 128, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0024778001400498966, 'batch_size': 96}. Best is trial 171 with value: 10.681659473072962.
Trial 289 finished with value: 25.006412927002117 and parameters: {'input_dropout': 0.0, 'hidden_layers': 10, 'hidden_units': 96, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.002659802608810938, 'batch_size': 96}. Best is trial 171 with value: 10.681659473072962.
Trial 290 finished with value: 14.966236899156561 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0029295648726853406, 'batch_size': 96}. Best is trial 171 with value: 10.681659473072962.
Trial 291 finished with value: 161.60508833881377 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 160, 'kernel_initializer': 'random_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.05, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.0033209832270689804, 'batch_size': 96}. Best is trial 171 with value: 10.681659473072962.
Trial 292 finished with value: 11.487042908614521 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 128, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0022370297766348903, 'batch_size': 96}. Best is trial 171 with value: 10.681659473072962.
Trial 293 finished with value: 15.29477362880574 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 128, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.002181515647258597, 'batch_size': 96}. Best is trial 171 with value: 10.681659473072962.
Trial 294 finished with value: 14.27445249677067 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 128, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.001939810598913551, 'batch_size': 96}. Best is trial 171 with value: 10.681659473072962.
Trial 295 finished with value: 8.730305301702867 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 128, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0022900554769444055, 'batch_size': 96}. Best is trial 295 with value: 8.730305301702867.
Trial 296 finished with value: 14.976248702324192 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 128, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.002299490994411161, 'batch_size': 96}. Best is trial 295 with value: 8.730305301702867.
Trial 297 finished with value: 19.543882881407203 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 128, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0020796710184346704, 'batch_size': 96}. Best is trial 295 with value: 8.730305301702867.
Trial 298 finished with value: 19.018517166443594 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 128, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0023728826050914416, 'batch_size': 96}. Best is trial 295 with value: 8.730305301702867.
Trial 299 finished with value: 13.71359092383386 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 128, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0022019366960150657, 'batch_size': 96}. Best is trial 295 with value: 8.730305301702867.
Trial 300 finished with value: 21.97309269994613 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 128, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.002301767311446997, 'batch_size': 96}. Best is trial 295 with value: 8.730305301702867.
Trial 301 finished with value: 214.41035137415673 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 128, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.05, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.002188729505134615, 'batch_size': 96}. Best is trial 295 with value: 8.730305301702867.
Trial 302 finished with value: 18.26165348026778 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 128, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0025081223201446757, 'batch_size': 96}. Best is trial 295 with value: 8.730305301702867.
Trial 303 finished with value: 14.490421202337465 and parameters: {'input_dropout': 0.0, 'hidden_layers': 10, 'hidden_units': 128, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0023986533776350094, 'batch_size': 96}. Best is trial 295 with value: 8.730305301702867.
Trial 304 finished with value: 182.77249863419934 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 128, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.0025523259178802903, 'batch_size': 96}. Best is trial 295 with value: 8.730305301702867.
Trial 305 finished with value: 18.000184759511583 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 128, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.002251590989004937, 'batch_size': 96}. Best is trial 295 with value: 8.730305301702867.
Trial 306 finished with value: 13.233148140201676 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 128, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0024141985077522398, 'batch_size': 96}. Best is trial 295 with value: 8.730305301702867.
Trial 307 finished with value: 19.18439467086392 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 128, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0007747340488832258, 'batch_size': 96}. Best is trial 295 with value: 8.730305301702867.
Trial 308 finished with value: 17.663739573126602 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 128, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.002661659895239054, 'batch_size': 96}. Best is trial 295 with value: 8.730305301702867.
Trial 309 finished with value: 16.959393626439642 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 128, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0025276611054356893, 'batch_size': 96}. Best is trial 295 with value: 8.730305301702867.
Trial 310 finished with value: 24.860703624462168 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 96, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.0030444443903605584, 'batch_size': 96}. Best is trial 295 with value: 8.730305301702867.
Trial 311 finished with value: 15.00616214355781 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 128, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0017966185904955885, 'batch_size': 96}. Best is trial 295 with value: 8.730305301702867.
Trial 312 finished with value: 28.97848324179914 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 128, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0027916061206970716, 'batch_size': 96}. Best is trial 295 with value: 8.730305301702867.
Trial 313 finished with value: 49.280239703570366 and parameters: {'input_dropout': 0.0, 'hidden_layers': 10, 'hidden_units': 128, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.0031763787860443304, 'batch_size': 96}. Best is trial 295 with value: 8.730305301702867.
Trial 314 finished with value: 399.2661082579834 and parameters: {'input_dropout': 0.1, 'hidden_layers': 9, 'hidden_units': 128, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.1, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.002408043039804576, 'batch_size': 96}. Best is trial 295 with value: 8.730305301702867.
Trial 315 finished with value: 179.14014161188362 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 128, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.15000000000000002, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.0026326480178985624, 'batch_size': 96}. Best is trial 295 with value: 8.730305301702867.
Trial 316 finished with value: 17.004027159038323 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 128, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.002195055957762656, 'batch_size': 96}. Best is trial 295 with value: 8.730305301702867.
Trial 317 finished with value: 31.90979357798873 and parameters: {'input_dropout': 0.05, 'hidden_layers': 9, 'hidden_units': 128, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0028882448072275165, 'batch_size': 96}. Best is trial 295 with value: 8.730305301702867.
Trial 318 finished with value: 49.08946051463117 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 128, 'kernel_initializer': 'random_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.003610955026044016, 'batch_size': 96}. Best is trial 295 with value: 8.730305301702867.
Trial 319 finished with value: 49.633111978545095 and parameters: {'input_dropout': 0.0, 'hidden_layers': 3, 'hidden_units': 128, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0019509983479833143, 'batch_size': 96}. Best is trial 295 with value: 8.730305301702867.
Trial 320 finished with value: 20.98767812218657 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 96, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.0024312589637998316, 'batch_size': 128}. Best is trial 295 with value: 8.730305301702867.
Trial 321 finished with value: 22.797250942911063 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 128, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0027119770660535324, 'batch_size': 96}. Best is trial 295 with value: 8.730305301702867.
Trial 322 finished with value: 23.40441515681325 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 128, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'on', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.002113772813323527, 'batch_size': 96}. Best is trial 295 with value: 8.730305301702867.
Trial 323 finished with value: 15.014151681445327 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 192, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.002519737874426228, 'batch_size': 96}. Best is trial 295 with value: 8.730305301702867.
Trial 324 finished with value: 17.534968049482373 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 128, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0029557570912867826, 'batch_size': 96}. Best is trial 295 with value: 8.730305301702867.
Trial 325 finished with value: 134.36202087822613 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 128, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.05, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.0023540271333061333, 'batch_size': 96}. Best is trial 295 with value: 8.730305301702867.
