A new study created in RDB with name: MLP_942
Trial 0 finished with value: 184.6502827269914 and parameters: {'input_dropout': 0.15000000000000002, 'hidden_layers': 7, 'hidden_units': 64, 'kernel_initializer': 'random_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.3, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0030870657531373693, 'batch_size': 32}. Best is trial 0 with value: 184.6502827269914.
Trial 522 finished with value: 66.17854705068143 and parameters: {'input_dropout': 0.05, 'hidden_layers': 10, 'hidden_units': 160, 'kernel_initializer': 'random_normal', 'hidden_activation': 'prelu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.004467228534855946, 'batch_size': 128}. Best is trial 390 with value: 16.963969438912468.
Trial 523 finished with value: 770.4485777014386 and parameters: {'input_dropout': 0.1, 'hidden_layers': 10, 'hidden_units': 64, 'kernel_initializer': 'he_normal', 'hidden_activation': 'prelu', 'hidden_dropout': 0.1, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0070276659475648415, 'batch_size': 96}. Best is trial 390 with value: 16.963969438912468.
Trial 524 finished with value: 3696.7335120490266 and parameters: {'input_dropout': 0.0, 'hidden_layers': 10, 'hidden_units': 128, 'kernel_initializer': 'he_normal', 'hidden_activation': 'prelu', 'hidden_dropout': 0.25, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.00026702589346503617, 'batch_size': 96}. Best is trial 390 with value: 16.963969438912468.
Trial 525 finished with value: 319.2744690563654 and parameters: {'input_dropout': 0.15000000000000002, 'hidden_layers': 10, 'hidden_units': 128, 'kernel_initializer': 'random_normal', 'hidden_activation': 'prelu', 'hidden_dropout': 0.2, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.009939119367318849, 'batch_size': 128}. Best is trial 390 with value: 16.963969438912468.
Trial 526 finished with value: 259.1589688307402 and parameters: {'input_dropout': 0.15000000000000002, 'hidden_layers': 10, 'hidden_units': 256, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'prelu', 'hidden_dropout': 0.05, 'batch_norm': 'on', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.004361908509459311, 'batch_size': 96}. Best is trial 390 with value: 16.963969438912468.
Trial 527 finished with value: 206.2705246687401 and parameters: {'input_dropout': 0.05, 'hidden_layers': 10, 'hidden_units': 32, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'relu', 'hidden_dropout': 0.05, 'batch_norm': 'on', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.00391772687312831, 'batch_size': 32}. Best is trial 390 with value: 16.963969438912468.
Trial 528 finished with value: 290.9801553714614 and parameters: {'input_dropout': 0.15000000000000002, 'hidden_layers': 8, 'hidden_units': 32, 'kernel_initializer': 'random_normal', 'hidden_activation': 'prelu', 'hidden_dropout': 0.3, 'batch_norm': 'off', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.0003598522000406045, 'batch_size': 32}. Best is trial 390 with value: 16.963969438912468.
Trial 529 finished with value: 137.0976646567048 and parameters: {'input_dropout': 0.05, 'hidden_layers': 4, 'hidden_units': 160, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'prelu', 'hidden_dropout': 0.15000000000000002, 'batch_norm': 'off', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.0011336974147143648, 'batch_size': 32}. Best is trial 390 with value: 16.963969438912468.
Trial 530 finished with value: 170.77576875066794 and parameters: {'input_dropout': 0.2, 'hidden_layers': 6, 'hidden_units': 96, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.2, 'batch_norm': 'on', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.0025600950447123814, 'batch_size': 32}. Best is trial 390 with value: 16.963969438912468.
Trial 531 finished with value: 294.5917812822554 and parameters: {'input_dropout': 0.1, 'hidden_layers': 3, 'hidden_units': 64, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'prelu', 'hidden_dropout': 0.3, 'batch_norm': 'off', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.00022942936813357927, 'batch_size': 64}. Best is trial 390 with value: 16.963969438912468.
Trial 532 finished with value: 127.99851711746281 and parameters: {'input_dropout': 0.2, 'hidden_layers': 7, 'hidden_units': 32, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.005589534012790546, 'batch_size': 64}. Best is trial 390 with value: 16.963969438912468.
Trial 533 finished with value: 930.3498473285398 and parameters: {'input_dropout': 0.15000000000000002, 'hidden_layers': 5, 'hidden_units': 64, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.3, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0016031774944769836, 'batch_size': 128}. Best is trial 390 with value: 16.963969438912468.
Trial 534 finished with value: 4753.188040230035 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 32, 'kernel_initializer': 'random_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.25, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.0010675390115067961, 'batch_size': 96}. Best is trial 390 with value: 16.963969438912468.
Trial 535 finished with value: 21173.24557494418 and parameters: {'input_dropout': 0.2, 'hidden_layers': 4, 'hidden_units': 96, 'kernel_initializer': 'random_normal', 'hidden_activation': 'prelu', 'hidden_dropout': 0.2, 'batch_norm': 'on', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.00012798261646068326, 'batch_size': 128}. Best is trial 390 with value: 16.963969438912468.
Trial 536 finished with value: 2627.312153563985 and parameters: {'input_dropout': 0.15000000000000002, 'hidden_layers': 9, 'hidden_units': 96, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'prelu', 'hidden_dropout': 0.2, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0005790592135435514, 'batch_size': 64}. Best is trial 390 with value: 16.963969438912468.
Trial 537 finished with value: 1060.496608198148 and parameters: {'input_dropout': 0.0, 'hidden_layers': 7, 'hidden_units': 96, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'prelu', 'hidden_dropout': 0.3, 'batch_norm': 'off', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.005349054444778375, 'batch_size': 64}. Best is trial 390 with value: 16.963969438912468.
Trial 538 finished with value: 207.89790158200736 and parameters: {'input_dropout': 0.1, 'hidden_layers': 5, 'hidden_units': 128, 'kernel_initializer': 'random_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.0001187427960393247, 'batch_size': 128}. Best is trial 390 with value: 16.963969438912468.
Trial 539 finished with value: 453.2578324286264 and parameters: {'input_dropout': 0.0, 'hidden_layers': 6, 'hidden_units': 224, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'prelu', 'hidden_dropout': 0.3, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.0054469263906792124, 'batch_size': 128}. Best is trial 390 with value: 16.963969438912468.
Trial 540 finished with value: 230.73170715911652 and parameters: {'input_dropout': 0.1, 'hidden_layers': 3, 'hidden_units': 64, 'kernel_initializer': 'random_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.1, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0001879939237496629, 'batch_size': 64}. Best is trial 390 with value: 16.963969438912468.
Trial 541 finished with value: 541.537976676552 and parameters: {'input_dropout': 0.2, 'hidden_layers': 4, 'hidden_units': 32, 'kernel_initializer': 'random_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.2, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.00011215731899995743, 'batch_size': 96}. Best is trial 390 with value: 16.963969438912468.
Trial 542 finished with value: 169.19320422902402 and parameters: {'input_dropout': 0.15000000000000002, 'hidden_layers': 7, 'hidden_units': 192, 'kernel_initializer': 'random_normal', 'hidden_activation': 'prelu', 'hidden_dropout': 0.15000000000000002, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.00040996374510349844, 'batch_size': 64}. Best is trial 390 with value: 16.963969438912468.
Trial 543 finished with value: 155.59328790588407 and parameters: {'input_dropout': 0.05, 'hidden_layers': 3, 'hidden_units': 64, 'kernel_initializer': 'random_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.3, 'batch_norm': 'off', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.002134722995746885, 'batch_size': 64}. Best is trial 390 with value: 16.963969438912468.
Trial 544 finished with value: 1879.0307062682102 and parameters: {'input_dropout': 0.0, 'hidden_layers': 7, 'hidden_units': 64, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'relu', 'hidden_dropout': 0.25, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0010465507093066519, 'batch_size': 64}. Best is trial 390 with value: 16.963969438912468.
Trial 545 finished with value: 297.50780022822653 and parameters: {'input_dropout': 0.0, 'hidden_layers': 3, 'hidden_units': 128, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'prelu', 'hidden_dropout': 0.15000000000000002, 'batch_norm': 'off', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.00011701575239349511, 'batch_size': 96}. Best is trial 390 with value: 16.963969438912468.
Trial 546 finished with value: 1291.3653802790702 and parameters: {'input_dropout': 0.1, 'hidden_layers': 7, 'hidden_units': 128, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.3, 'batch_norm': 'off', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.003291956754776832, 'batch_size': 64}. Best is trial 390 with value: 16.963969438912468.
Trial 547 finished with value: 23.246393920980477 and parameters: {'input_dropout': 0.0, 'hidden_layers': 7, 'hidden_units': 192, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.0022105287009334226, 'batch_size': 96}. Best is trial 390 with value: 16.963969438912468.
Trial 548 finished with value: 337.0399272747284 and parameters: {'input_dropout': 0.15000000000000002, 'hidden_layers': 6, 'hidden_units': 192, 'kernel_initializer': 'he_normal', 'hidden_activation': 'prelu', 'hidden_dropout': 0.2, 'batch_norm': 'off', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.0014768551189609325, 'batch_size': 32}. Best is trial 390 with value: 16.963969438912468.
Trial 549 finished with value: 122.66093948310251 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 256, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'relu', 'hidden_dropout': 0.1, 'batch_norm': 'on', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.00035628789228940285, 'batch_size': 32}. Best is trial 390 with value: 16.963969438912468.
Trial 550 finished with value: 114.52128341546532 and parameters: {'input_dropout': 0.05, 'hidden_layers': 4, 'hidden_units': 160, 'kernel_initializer': 'random_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.15000000000000002, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.003117747396638206, 'batch_size': 32}. Best is trial 390 with value: 16.963969438912468.
Trial 551 finished with value: 379.66012599185916 and parameters: {'input_dropout': 0.15000000000000002, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.25, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0037163255989719193, 'batch_size': 64}. Best is trial 390 with value: 16.963969438912468.
Trial 552 finished with value: 262.2931817325933 and parameters: {'input_dropout': 0.15000000000000002, 'hidden_layers': 10, 'hidden_units': 32, 'kernel_initializer': 'random_normal', 'hidden_activation': 'prelu', 'hidden_dropout': 0.2, 'batch_norm': 'on', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.006619167044296099, 'batch_size': 32}. Best is trial 390 with value: 16.963969438912468.
Trial 553 finished with value: 6049.593552829263 and parameters: {'input_dropout': 0.2, 'hidden_layers': 3, 'hidden_units': 64, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.25, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.0010294570516148794, 'batch_size': 64}. Best is trial 390 with value: 16.963969438912468.
Trial 554 finished with value: 13719.120336387936 and parameters: {'input_dropout': 0.0, 'hidden_layers': 8, 'hidden_units': 160, 'kernel_initializer': 'random_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.05, 'batch_norm': 'on', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.00025806541516404846, 'batch_size': 128}. Best is trial 390 with value: 16.963969438912468.
Trial 555 finished with value: 168.60352017665085 and parameters: {'input_dropout': 0.05, 'hidden_layers': 8, 'hidden_units': 160, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.05, 'batch_norm': 'off', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.000320037547675494, 'batch_size': 32}. Best is trial 390 with value: 16.963969438912468.
Trial 556 finished with value: 200.48795318425064 and parameters: {'input_dropout': 0.1, 'hidden_layers': 6, 'hidden_units': 64, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.25, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.0034636346466622105, 'batch_size': 32}. Best is trial 390 with value: 16.963969438912468.
Trial 557 finished with value: 212.24741353595277 and parameters: {'input_dropout': 0.1, 'hidden_layers': 9, 'hidden_units': 128, 'kernel_initializer': 'he_normal', 'hidden_activation': 'prelu', 'hidden_dropout': 0.05, 'batch_norm': 'off', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.0006101444369796951, 'batch_size': 64}. Best is trial 390 with value: 16.963969438912468.
Trial 558 finished with value: 102.75723694383504 and parameters: {'input_dropout': 0.1, 'hidden_layers': 8, 'hidden_units': 128, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.00026945217275200795, 'batch_size': 64}. Best is trial 390 with value: 16.963969438912468.
Trial 559 finished with value: 79.22792689021682 and parameters: {'input_dropout': 0.05, 'hidden_layers': 9, 'hidden_units': 256, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.007424264119736291, 'batch_size': 64}. Best is trial 390 with value: 16.963969438912468.
Trial 560 finished with value: 155.87107356820871 and parameters: {'input_dropout': 0.2, 'hidden_layers': 5, 'hidden_units': 160, 'kernel_initializer': 'random_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.15000000000000002, 'batch_norm': 'off', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.000406906769947519, 'batch_size': 32}. Best is trial 390 with value: 16.963969438912468.
Trial 561 finished with value: 132.67813044583787 and parameters: {'input_dropout': 0.15000000000000002, 'hidden_layers': 3, 'hidden_units': 256, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'relu', 'hidden_dropout': 0.05, 'batch_norm': 'on', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.0006222049892700668, 'batch_size': 96}. Best is trial 390 with value: 16.963969438912468.
Trial 562 finished with value: 418.1695792423828 and parameters: {'input_dropout': 0.2, 'hidden_layers': 4, 'hidden_units': 128, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'relu', 'hidden_dropout': 0.25, 'batch_norm': 'off', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.00046227396138142496, 'batch_size': 64}. Best is trial 390 with value: 16.963969438912468.
Trial 563 finished with value: 735.4595393397262 and parameters: {'input_dropout': 0.05, 'hidden_layers': 9, 'hidden_units': 192, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.25, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.005685660644811603, 'batch_size': 96}. Best is trial 390 with value: 16.963969438912468.
Trial 564 finished with value: 220.32775270085264 and parameters: {'input_dropout': 0.0, 'hidden_layers': 7, 'hidden_units': 32, 'kernel_initializer': 'random_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.004265593861585838, 'batch_size': 128}. Best is trial 390 with value: 16.963969438912468.
Trial 565 finished with value: 85.70845100658353 and parameters: {'input_dropout': 0.05, 'hidden_layers': 3, 'hidden_units': 224, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'prelu', 'hidden_dropout': 0.15000000000000002, 'batch_norm': 'on', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.001987501966708604, 'batch_size': 32}. Best is trial 390 with value: 16.963969438912468.
Trial 566 finished with value: 296.6440194265736 and parameters: {'input_dropout': 0.05, 'hidden_layers': 9, 'hidden_units': 64, 'kernel_initializer': 'random_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.3, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.00012889519901127636, 'batch_size': 128}. Best is trial 390 with value: 16.963969438912468.
Trial 567 finished with value: 272.61386000173917 and parameters: {'input_dropout': 0.2, 'hidden_layers': 4, 'hidden_units': 128, 'kernel_initializer': 'he_normal', 'hidden_activation': 'prelu', 'hidden_dropout': 0.1, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0005958193745453732, 'batch_size': 32}. Best is trial 390 with value: 16.963969438912468.
Trial 568 finished with value: 110.08442657378309 and parameters: {'input_dropout': 0.0, 'hidden_layers': 4, 'hidden_units': 32, 'kernel_initializer': 'random_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0024740498847474076, 'batch_size': 96}. Best is trial 390 with value: 16.963969438912468.
Trial 569 finished with value: 5606.015218725337 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 128, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.3, 'batch_norm': 'on', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.0007598616598127395, 'batch_size': 128}. Best is trial 390 with value: 16.963969438912468.
Trial 570 finished with value: 9398.49580044221 and parameters: {'input_dropout': 0.05, 'hidden_layers': 5, 'hidden_units': 128, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'relu', 'hidden_dropout': 0.3, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.0004848128694883666, 'batch_size': 96}. Best is trial 390 with value: 16.963969438912468.
Trial 571 finished with value: 42.65384434441412 and parameters: {'input_dropout': 0.0, 'hidden_layers': 8, 'hidden_units': 128, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.0009749938076884627, 'batch_size': 32}. Best is trial 390 with value: 16.963969438912468.
Trial 572 finished with value: 156.35371978612875 and parameters: {'input_dropout': 0.05, 'hidden_layers': 10, 'hidden_units': 32, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'prelu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.007608768761680162, 'batch_size': 64}. Best is trial 390 with value: 16.963969438912468.
Trial 573 finished with value: 282.7217586566588 and parameters: {'input_dropout': 0.1, 'hidden_layers': 8, 'hidden_units': 256, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'relu', 'hidden_dropout': 0.1, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0016924035419456033, 'batch_size': 96}. Best is trial 390 with value: 16.963969438912468.
Trial 574 finished with value: 95.25470527755581 and parameters: {'input_dropout': 0.05, 'hidden_layers': 3, 'hidden_units': 224, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'prelu', 'hidden_dropout': 0.2, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.002564336951341825, 'batch_size': 32}. Best is trial 390 with value: 16.963969438912468.
Trial 575 finished with value: 19336.635120327912 and parameters: {'input_dropout': 0.1, 'hidden_layers': 5, 'hidden_units': 128, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'prelu', 'hidden_dropout': 0.1, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.00014161284889490288, 'batch_size': 128}. Best is trial 390 with value: 16.963969438912468.
Trial 576 finished with value: 148.19549372816567 and parameters: {'input_dropout': 0.15000000000000002, 'hidden_layers': 8, 'hidden_units': 160, 'kernel_initializer': 'random_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.05, 'batch_norm': 'off', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.002120498018621039, 'batch_size': 32}. Best is trial 390 with value: 16.963969438912468.
Trial 577 finished with value: 122.55205552405107 and parameters: {'input_dropout': 0.1, 'hidden_layers': 3, 'hidden_units': 160, 'kernel_initializer': 'random_normal', 'hidden_activation': 'prelu', 'hidden_dropout': 0.25, 'batch_norm': 'off', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.004125926519082143, 'batch_size': 32}. Best is trial 390 with value: 16.963969438912468.
Trial 578 finished with value: 705.1659528940578 and parameters: {'input_dropout': 0.15000000000000002, 'hidden_layers': 3, 'hidden_units': 32, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.25, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.00016063713161288822, 'batch_size': 96}. Best is trial 390 with value: 16.963969438912468.
Trial 579 finished with value: 135.8678932365722 and parameters: {'input_dropout': 0.1, 'hidden_layers': 5, 'hidden_units': 192, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.05, 'batch_norm': 'off', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.007584058110751957, 'batch_size': 128}. Best is trial 390 with value: 16.963969438912468.
Trial 580 finished with value: 259.7463543875801 and parameters: {'input_dropout': 0.0, 'hidden_layers': 10, 'hidden_units': 96, 'kernel_initializer': 'random_normal', 'hidden_activation': 'prelu', 'hidden_dropout': 0.3, 'batch_norm': 'on', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.001420118578294164, 'batch_size': 32}. Best is trial 390 with value: 16.963969438912468.
Trial 581 finished with value: 89.64597205405613 and parameters: {'input_dropout': 0.0, 'hidden_layers': 8, 'hidden_units': 192, 'kernel_initializer': 'random_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.15000000000000002, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0005842695072566266, 'batch_size': 64}. Best is trial 390 with value: 16.963969438912468.
Trial 582 finished with value: 3554.241685871203 and parameters: {'input_dropout': 0.15000000000000002, 'hidden_layers': 7, 'hidden_units': 64, 'kernel_initializer': 'he_normal', 'hidden_activation': 'prelu', 'hidden_dropout': 0.3, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.000241402324126779, 'batch_size': 96}. Best is trial 390 with value: 16.963969438912468.
Trial 583 finished with value: 134.0214512205565 and parameters: {'input_dropout': 0.05, 'hidden_layers': 5, 'hidden_units': 128, 'kernel_initializer': 'he_normal', 'hidden_activation': 'prelu', 'hidden_dropout': 0.05, 'batch_norm': 'off', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.00035527910428637826, 'batch_size': 32}. Best is trial 390 with value: 16.963969438912468.
Trial 584 finished with value: 323.81304007663596 and parameters: {'input_dropout': 0.1, 'hidden_layers': 8, 'hidden_units': 160, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.1, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.003779202776377723, 'batch_size': 96}. Best is trial 390 with value: 16.963969438912468.
Trial 585 finished with value: 423.13455053468977 and parameters: {'input_dropout': 0.1, 'hidden_layers': 10, 'hidden_units': 32, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'prelu', 'hidden_dropout': 0.15000000000000002, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.0065146538408481355, 'batch_size': 96}. Best is trial 390 with value: 16.963969438912468.
Trial 586 finished with value: 1080.060448614079 and parameters: {'input_dropout': 0.2, 'hidden_layers': 7, 'hidden_units': 160, 'kernel_initializer': 'he_normal', 'hidden_activation': 'prelu', 'hidden_dropout': 0.2, 'batch_norm': 'off', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.000296518623852304, 'batch_size': 64}. Best is trial 390 with value: 16.963969438912468.
Trial 587 finished with value: 14793.134600348523 and parameters: {'input_dropout': 0.15000000000000002, 'hidden_layers': 6, 'hidden_units': 128, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.1, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.00029616314266984035, 'batch_size': 128}. Best is trial 390 with value: 16.963969438912468.
Trial 588 finished with value: 261.54663604981243 and parameters: {'input_dropout': 0.2, 'hidden_layers': 8, 'hidden_units': 160, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'prelu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0002909513832758801, 'batch_size': 96}. Best is trial 390 with value: 16.963969438912468.
Trial 589 finished with value: 1349.1612960288207 and parameters: {'input_dropout': 0.05, 'hidden_layers': 9, 'hidden_units': 224, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'prelu', 'hidden_dropout': 0.2, 'batch_norm': 'off', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.00012638342130226438, 'batch_size': 32}. Best is trial 390 with value: 16.963969438912468.
Trial 590 finished with value: 3196.7210369449385 and parameters: {'input_dropout': 0.2, 'hidden_layers': 10, 'hidden_units': 32, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.15000000000000002, 'batch_norm': 'off', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.0049640821426847614, 'batch_size': 64}. Best is trial 390 with value: 16.963969438912468.
Trial 591 finished with value: 148.12152569604913 and parameters: {'input_dropout': 0.0, 'hidden_layers': 8, 'hidden_units': 128, 'kernel_initializer': 'random_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.15000000000000002, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.0016630224999898131, 'batch_size': 64}. Best is trial 390 with value: 16.963969438912468.
Trial 592 finished with value: 4404.405759687605 and parameters: {'input_dropout': 0.0, 'hidden_layers': 8, 'hidden_units': 64, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.3, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.00011055947276583791, 'batch_size': 64}. Best is trial 390 with value: 16.963969438912468.
Trial 593 finished with value: 198.83057036580843 and parameters: {'input_dropout': 0.1, 'hidden_layers': 9, 'hidden_units': 192, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'prelu', 'hidden_dropout': 0.1, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.0019144751048707528, 'batch_size': 32}. Best is trial 390 with value: 16.963969438912468.
